question,worker,answer
344,3,0
0,1,1
346,3,0
347,4,0
340,4,1
341,4,0
342,3,0
343,4,1
348,4,0
349,4,1
298,4,1
299,3,1
296,1,1
297,4,1
294,1,0
295,4,0
292,3,0
293,1,1
290,1,1
291,4,0
199,3,1
198,3,0
195,1,0
194,4,1
197,4,1
196,4,1
191,4,1
190,1,0
193,1,1
192,4,0
270,3,0
271,4,0
272,3,1
273,3,0
274,4,1
275,1,0
276,4,1
277,3,0
278,4,1
279,3,1
449,4,1
448,4,1
443,4,0
442,1,0
441,1,1
440,4,1
447,4,0
446,1,0
445,4,1
444,3,0
108,3,0
109,3,0
102,3,1
103,1,0
100,1,0
101,4,0
106,4,0
107,4,0
104,1,1
105,3,1
39,3,1
38,1,0
33,1,0
32,4,0
31,3,0
30,3,0
37,1,1
36,3,0
35,1,0
34,4,1
438,4,0
439,1,0
436,3,1
437,4,1
434,4,1
435,4,0
432,1,1
433,1,0
430,3,1
431,3,1
339,4,1
338,1,0
335,3,0
334,4,1
337,4,0
336,1,1
331,4,0
330,1,0
333,4,1
332,3,1
345,4,0
6,4,1
99,1,0
98,1,0
91,1,0
90,1,1
93,1,1
92,4,0
95,3,1
94,1,0
97,1,1
96,1,1
238,1,0
239,4,0
234,1,0
235,3,0
236,4,0
237,4,0
230,1,0
231,3,1
232,3,0
233,3,1
1,4,1
146,4,1
147,4,0
144,1,1
145,1,1
142,3,0
143,4,1
140,4,1
141,1,1
148,4,0
149,4,0
133,4,0
132,1,0
131,1,1
130,1,0
137,4,0
499,4,1
135,1,1
134,4,1
494,4,0
495,1,0
496,3,1
138,3,0
490,4,1
491,3,1
492,1,1
493,3,1
24,1,0
25,3,1
26,3,0
27,3,0
20,1,0
21,4,1
22,1,1
23,1,1
28,4,0
29,4,0
407,1,0
406,3,0
405,3,1
404,1,1
403,1,0
402,3,0
401,1,1
400,1,1
409,4,1
408,1,0
379,3,1
378,4,1
371,1,1
370,4,1
373,3,0
372,1,1
375,4,1
374,3,0
377,4,1
376,4,0
393,3,1
392,3,0
391,3,1
390,3,0
397,1,0
396,4,0
395,4,0
394,1,1
82,1,0
181,4,0
80,3,1
398,3,0
86,4,1
87,4,0
84,4,1
85,1,1
7,3,0
245,3,0
244,1,1
247,4,0
246,1,1
241,3,1
240,4,1
243,3,1
242,1,0
249,1,1
248,4,0
458,1,0
459,4,1
450,4,0
451,4,1
452,1,1
453,1,1
454,4,1
455,3,0
456,3,0
457,4,1
179,4,0
178,3,0
177,3,0
176,1,0
175,3,0
174,1,1
173,1,0
172,4,0
171,3,0
170,4,0
182,4,0
183,3,1
180,1,0
2,3,0
186,4,0
187,3,0
184,3,0
185,1,1
188,4,1
189,3,0
11,1,1
10,4,0
13,3,1
12,1,0
15,1,1
14,4,0
17,1,1
16,3,0
19,1,1
18,1,0
322,1,1
323,4,0
320,1,0
321,1,1
326,3,0
327,4,0
324,3,1
325,1,1
328,4,0
329,4,0
201,1,1
200,1,1
203,4,0
202,4,1
205,1,1
204,1,1
207,1,1
206,1,0
209,4,0
208,3,1
77,3,0
76,3,1
75,4,1
74,3,0
73,4,1
72,3,0
71,4,0
70,3,0
79,3,0
78,3,1
8,3,1
