question,worker,answer
clueweb09-en0007-24-16724,w4,1
clueweb09-en0011-78-00514,w6,1
clueweb09-en0006-85-33194,w8,1
clueweb09-en0005-88-21592,w10,1
clueweb09-en0009-89-11550,w1,1
clueweb09-enwp00-47-25169,w3,1
clueweb09-en0007-24-16722,w7,1
clueweb09-en0002-83-28838,w6,1
clueweb09-en0002-83-28837,w3,1
clueweb09-en0006-85-33174,w6,0
clueweb09-en0007-39-22983,w4,1
clueweb09-en0002-83-28834,w56,1
clueweb09-en0011-28-14558,w13,1
clueweb09-enwp01-60-13332,w3,0
clueweb09-enwp00-62-20587,w1,1
clueweb09-enwp00-86-13752,w1,1
clueweb09-en0009-26-15066,w59,1
clueweb09-en0007-26-02115,w3,1
clueweb09-en0007-39-24332,w3,1
clueweb09-en0009-89-11534,w12,1
clueweb09-enwp02-05-02572,w1,1
clueweb09-en0007-24-16951,w3,0
clueweb09-en0006-85-33159,w6,0
clueweb09-en0004-21-09258,w3,1
clueweb09-enwp00-52-24084,w25,1
clueweb09-en0009-89-11532,w1,1
clueweb09-en0002-28-00027,w13,1
clueweb09-enwp01-35-12260,w1,1
clueweb09-en0002-28-00025,w3,1
clueweb09-en0005-88-21628,w6,1
clueweb09-en0009-00-17769,w7,1
clueweb09-en0007-24-18145,w7,1
clueweb09-en0007-24-16725,w8,1
clueweb09-enwp02-21-13752,w17,1
clueweb09-en0010-92-14638,w4,1
clueweb09-en0006-33-01020,w6,1
clueweb09-en0005-88-21682,w3,0
clueweb09-en0007-64-05358,w6,0
clueweb09-en0000-37-12486,w6,0
clueweb09-en0010-89-22646,w3,1
clueweb09-en0007-39-16542,w20,1
clueweb09-en0011-78-02718,w3,1
clueweb09-en0011-89-08538,w7,1
clueweb09-en0006-85-33180,w1,1
clueweb09-enwp00-68-00450,w1,1
clueweb09-en0001-25-05147,w4,1
clueweb09-enwp00-16-18468,w50,1
clueweb09-enwp01-54-21034,w7,1
clueweb09-en0008-85-37761,w25,0
clueweb09-en0007-39-22992,w12,1
clueweb09-en0004-09-06983,w1,1
clueweb09-en0006-85-33191,w1,1
clueweb09-enwp02-05-02568,w25,0
clueweb09-en0009-15-02980,w14,1
clueweb09-en0009-89-11540,w44,1
clueweb09-en0010-89-22660,w2,1
clueweb09-en0004-21-09263,w12,1
clueweb09-en0003-71-36817,w1,1
clueweb09-en0007-24-16723,w3,0
clueweb09-en0009-04-30435,w2,1
clueweb09-en0001-05-08174,w3,1
clueweb09-en0006-31-15646,w3,1
clueweb09-en0001-07-23668,w52,1
clueweb09-en0001-05-15944,w1,1
clueweb09-en0006-85-33170,w1,1
clueweb09-en0009-04-30415,w6,1
clueweb09-en0007-39-22682,w12,1
clueweb09-en0008-05-06642,w1,1
clueweb09-en0004-09-06987,w3,1
clueweb09-enwp00-60-11527,w3,1
clueweb09-en0004-63-32676,w3,1
clueweb09-en0006-85-33145,w11,1
clueweb09-en0004-89-22103,w1,1
clueweb09-en0006-33-01009,w3,1
clueweb09-enwp00-48-24822,w60,1
clueweb09-enwp01-90-19908,w1,1
clueweb09-enwp00-68-15168,w4,1
