question,worker,answer
clueweb09-en0001-85-26958,worker-117,0
clueweb09-enwp01-81-11931,worker-65,1
clueweb09-en0001-19-03616,worker-117,0
clueweb09-en0004-74-03077,worker-65,1
clueweb09-en0002-02-09367,worker-65,1
clueweb09-en0003-11-22496,worker-19,1
clueweb09-en0003-59-23000,worker-117,0
clueweb09-en0000-61-26101,worker-117,0
clueweb09-en0007-39-24332,worker-65,1
clueweb09-enwp02-05-02572,worker-65,0
clueweb09-en0003-50-20499,worker-117,0
clueweb09-en0006-35-08716,worker-65,1
clueweb09-en0000-45-23196,worker-65,0
clueweb09-en0003-27-19897,worker-65,1
clueweb09-en0000-19-35982,worker-19,1
clueweb09-en0000-58-00732,worker-19,1
clueweb09-enwp01-96-17292,worker-19,1
clueweb09-en0000-37-12486,worker-65,0
clueweb09-enwp00-99-12978,worker-117,0
clueweb09-enwp02-04-09579,worker-19,1
clueweb09-en0009-21-30033,worker-117,0
clueweb09-en0004-04-33756,worker-19,1
clueweb09-en0000-44-14738,worker-117,0
clueweb09-en0000-94-14258,worker-65,0
clueweb09-enwp03-35-07590,worker-117,0
clueweb09-en0003-07-27317,worker-117,0
clueweb09-enwp00-49-10898,worker-117,0
clueweb09-en0009-64-18475,worker-65,0
clueweb09-en0006-70-04701,worker-19,1
clueweb09-en0001-77-03887,worker-19,1
clueweb09-en0004-29-19666,worker-65,0
clueweb09-en0008-72-25616,worker-19,1
clueweb09-en0003-26-19419,worker-19,1
clueweb09-en0008-72-25615,worker-117,0
clueweb09-en0004-30-16813,worker-19,1
clueweb09-en0005-28-20976,worker-117,0
clueweb09-en0003-03-34761,worker-19,1
clueweb09-en0000-03-11737,worker-19,1
clueweb09-enwp01-46-02509,worker-65,1
clueweb09-en0000-77-29064,worker-65,0
clueweb09-enwp00-72-00831,worker-117,0
clueweb09-en0000-51-33090,worker-19,1
clueweb09-en0000-42-06598,worker-117,0
clueweb09-en0001-18-31898,worker-117,0
clueweb09-en0001-09-27467,worker-65,1
clueweb09-en0002-29-03539,worker-117,0
clueweb09-en0000-01-10241,worker-19,1
clueweb09-enwp01-34-13728,worker-19,1
clueweb09-en0011-58-20029,worker-19,1
clueweb09-en0004-10-21079,worker-117,0
clueweb09-enwp02-21-13752,worker-65,1
clueweb09-en0007-15-40215,worker-19,1
clueweb09-en0010-34-30553,worker-65,0
clueweb09-enwp01-32-16104,worker-19,1
clueweb09-en0000-81-14472,worker-65,1
clueweb09-en0000-08-15393,worker-117,0
clueweb09-en0000-40-14160,worker-117,0
clueweb09-en0005-88-21679,worker-65,1
clueweb09-en0000-13-06741,worker-19,1
clueweb09-en0004-31-27008,worker-65,0
clueweb09-enwp01-15-13896,worker-65,1
clueweb09-en0010-78-24757,worker-117,0
clueweb09-en0004-31-27006,worker-65,1
clueweb09-en0004-31-27007,worker-65,0
clueweb09-enwp01-19-20724,worker-19,1
clueweb09-en0000-41-09017,worker-117,0
clueweb09-enwp01-17-07013,worker-117,0
clueweb09-enwp01-34-05422,worker-65,0
clueweb09-en0003-74-12212,worker-117,0
clueweb09-enwp00-45-22027,worker-65,0
clueweb09-en0004-29-19641,worker-65,0
clueweb09-en0007-90-29024,worker-65,1
clueweb09-enwp00-51-04994,worker-65,1
clueweb09-en0001-73-10243,worker-65,0
clueweb09-en0000-08-10768,worker-117,0
clueweb09-en0007-24-16724,worker-65,0
clueweb09-en0007-24-16725,worker-65,0
clueweb09-en0007-24-16722,worker-65,0
clueweb09-en0004-58-21669,worker-117,0
clueweb09-en0010-89-22660,worker-65,1
clueweb09-en0003-27-18446,worker-19,1
clueweb09-en0001-72-10642,worker-117,0
clueweb09-en0000-01-17139,worker-117,0
clueweb09-en0010-73-31714,worker-117,0
clueweb09-en0000-49-24066,worker-117,0
clueweb09-en0001-33-14613,worker-117,0
clueweb09-enwp00-14-16598,worker-19,1
clueweb09-en0011-59-27916,worker-19,1
clueweb09-en0000-08-10772,worker-117,0
clueweb09-en0000-08-10773,worker-117,0
clueweb09-en0000-08-10770,worker-117,0
clueweb09-en0001-86-30897,worker-65,0
clueweb09-en0005-69-15745,worker-65,1
clueweb09-en0008-48-19625,worker-19,1
clueweb09-en0009-74-30437,worker-117,0
clueweb09-en0006-32-24645,worker-19,1
clueweb09-enwp02-23-15904,worker-117,0
clueweb09-enwp00-83-01997,worker-65,1
clueweb09-enwp00-93-23328,worker-65,0
clueweb09-enwp01-54-21034,worker-65,1
clueweb09-en0000-04-02442,worker-117,0
clueweb09-en0010-77-08147,worker-65,0
clueweb09-en0009-35-21247,worker-65,1
clueweb09-en0008-25-06650,worker-65,1
clueweb09-en0003-36-30719,worker-117,0
clueweb09-en0007-09-21634,worker-65,1
clueweb09-en0011-82-35189,worker-19,1
clueweb09-enwp01-52-08571,worker-19,1
clueweb09-en0006-78-10229,worker-65,0
clueweb09-en0000-35-12461,worker-117,0
clueweb09-en0003-89-12136,worker-117,0
clueweb09-en0008-61-36689,worker-19,1
clueweb09-en0008-02-30011,worker-117,0
clueweb09-en0003-23-07914,worker-19,1
clueweb09-en0003-71-36817,worker-65,1
clueweb09-enwp01-21-13325,worker-19,1
clueweb09-en0001-99-03420,worker-19,1
clueweb09-en0002-37-23375,worker-117,0
clueweb09-en0000-13-02922,worker-117,0
clueweb09-enwp00-84-19195,worker-117,0
clueweb09-en0000-40-14370,worker-117,0
clueweb09-en0005-12-09556,worker-65,1
clueweb09-en0002-28-14217,worker-117,0
clueweb09-enwp02-08-00431,worker-19,1
clueweb09-enwp00-87-12716,worker-117,0
clueweb09-en0000-01-12091,worker-65,0
clueweb09-en0003-99-13686,worker-117,0
clueweb09-enwp01-53-08539,worker-19,1
clueweb09-en0004-36-26821,worker-19,1
clueweb09-en0007-94-02033,worker-19,1
clueweb09-en0005-88-21609,worker-65,0
clueweb09-en0005-54-07125,worker-65,0
clueweb09-en0004-29-19653,worker-65,1
clueweb09-en0001-28-23732,worker-19,1
clueweb09-en0007-45-13368,worker-117,0
clueweb09-en0003-37-08109,worker-19,1
clueweb09-en0001-77-19231,worker-19,1
clueweb09-enwp02-06-00671,worker-65,0
clueweb09-en0008-31-31191,worker-65,1
clueweb09-en0011-66-28857,worker-117,0
clueweb09-en0009-95-35768,worker-65,1
clueweb09-en0005-69-15790,worker-65,1
clueweb09-en0006-84-32964,worker-19,1
clueweb09-en0005-51-24459,worker-117,0
clueweb09-en0009-14-23511,worker-117,0
clueweb09-en0008-30-30823,worker-19,1
clueweb09-en0005-56-01195,worker-117,0
clueweb09-en0002-28-00027,worker-65,1
clueweb09-en0000-08-11444,worker-117,0
clueweb09-en0002-30-08468,worker-117,0
clueweb09-enwp00-71-18342,worker-65,1
clueweb09-en0007-64-30991,worker-19,1
clueweb09-en0001-05-08174,worker-65,1
clueweb09-en0004-10-35534,worker-19,1
clueweb09-en0001-72-02458,worker-117,0
clueweb09-enwp00-08-16434,worker-19,1
clueweb09-enwp00-87-16083,worker-65,1
clueweb09-en0001-85-17921,worker-117,0
clueweb09-en0006-21-38738,worker-117,0
clueweb09-en0006-74-31596,worker-117,0
clueweb09-enwp00-31-05549,worker-19,1
clueweb09-en0000-04-14301,worker-65,0
clueweb09-enwp01-35-12260,worker-65,1
clueweb09-en0008-18-07252,worker-19,1
clueweb09-en0006-85-24113,worker-117,0
clueweb09-en0007-26-02115,worker-65,1
clueweb09-enwp00-47-25169,worker-65,1
clueweb09-en0005-17-19372,worker-65,0
clueweb09-en0005-17-19373,worker-65,0
clueweb09-en0000-17-07860,worker-65,1
clueweb09-en0009-68-10690,worker-65,1
clueweb09-en0009-68-10694,worker-65,1
clueweb09-en0007-97-22051,worker-19,1
clueweb09-en0005-02-39304,worker-117,0
clueweb09-en0000-32-03992,worker-19,1
clueweb09-en0002-84-21627,worker-117,0
clueweb09-en0004-00-01975,worker-19,1
clueweb09-en0010-22-23199,worker-117,0
clueweb09-en0002-85-18216,worker-117,0
clueweb09-enwp00-80-00512,worker-117,0
clueweb09-enwp01-80-14604,worker-117,0
clueweb09-en0001-25-04383,worker-19,1
clueweb09-enwp02-05-02568,worker-65,1
clueweb09-en0011-36-04489,worker-117,0
clueweb09-en0007-32-10026,worker-117,0
clueweb09-en0009-01-09233,worker-19,1
clueweb09-en0004-82-12306,worker-117,0
clueweb09-en0004-81-00981,worker-117,0
clueweb09-en0004-30-29308,worker-117,0
clueweb09-en0003-27-25448,worker-19,1
clueweb09-enwp00-48-24822,worker-65,1
clueweb09-en0007-27-31942,worker-117,0
clueweb09-en0001-07-19574,worker-117,0
clueweb09-en0000-71-00364,worker-117,0
clueweb09-en0004-29-40283,worker-117,0
clueweb09-en0001-58-07838,worker-19,1
clueweb09-en0010-89-30032,worker-117,0
clueweb09-en0005-08-29722,worker-19,1
clueweb09-en0005-08-29726,worker-19,1
clueweb09-en0002-78-23343,worker-117,0
clueweb09-en0005-08-29724,worker-19,1
clueweb09-enwp01-32-17956,worker-19,1
clueweb09-en0000-44-08413,worker-19,1
clueweb09-en0002-05-02107,worker-117,0
clueweb09-enwp00-06-01861,worker-117,0
clueweb09-en0000-08-10774,worker-117,0
clueweb09-enwp02-24-00070,worker-65,1
clueweb09-en0011-89-23630,worker-19,1
clueweb09-en0009-14-24268,worker-117,0
clueweb09-en0004-29-19619,worker-65,0
clueweb09-en0011-16-18222,worker-117,0
clueweb09-enwp01-67-09360,worker-117,0
clueweb09-enwp02-00-11595,worker-19,1
clueweb09-en0004-59-28610,worker-19,1
clueweb09-en0004-02-17099,worker-117,0
clueweb09-en0004-68-33033,worker-117,0
clueweb09-en0009-14-23510,worker-19,1
clueweb09-en0000-95-10934,worker-65,0
clueweb09-enwp01-25-01447,worker-65,0
clueweb09-enwp00-80-03253,worker-19,1
clueweb09-en0005-32-23887,worker-19,1
clueweb09-en0001-44-46503,worker-117,0
clueweb09-en0001-44-46502,worker-117,0
clueweb09-en0005-61-22236,worker-117,0
clueweb09-en0009-86-01892,worker-19,1
clueweb09-en0009-56-34158,worker-19,1
clueweb09-en0001-06-06340,worker-19,1
clueweb09-en0003-26-03932,worker-117,0
clueweb09-enwp01-90-19908,worker-65,1
clueweb09-en0003-69-04799,worker-117,0
clueweb09-en0007-54-47067,worker-19,1
clueweb09-enwp00-96-06746,worker-19,1
clueweb09-en0001-05-15944,worker-65,0
clueweb09-en0003-53-26237,worker-117,0
clueweb09-en0009-00-17769,worker-65,1
clueweb09-en0001-17-15996,worker-19,1
clueweb09-en0004-07-03790,worker-19,1
clueweb09-enwp01-14-12836,worker-19,1
clueweb09-en0011-36-04602,worker-117,0
clueweb09-en0000-17-20023,worker-117,0
clueweb09-en0002-14-03672,worker-117,0
clueweb09-en0008-82-30904,worker-19,1
clueweb09-en0004-21-09258,worker-65,1
clueweb09-enwp00-52-24084,worker-65,1
clueweb09-en0003-84-27034,worker-19,1
clueweb09-en0004-76-24755,worker-19,1
clueweb09-enwp01-80-18672,worker-19,1
clueweb09-en0001-25-16469,worker-117,0
clueweb09-en0003-73-24392,worker-117,0
clueweb09-enwp01-72-16940,worker-19,1
clueweb09-en0006-43-20101,worker-65,1
clueweb09-en0010-53-31026,worker-19,1
clueweb09-en0010-53-31025,worker-19,1
clueweb09-en0003-90-11575,worker-19,1
clueweb09-en0009-04-28463,worker-117,0
clueweb09-en0009-91-14681,worker-19,1
clueweb09-en0008-08-11305,worker-19,1
clueweb09-en0008-33-15386,worker-19,1
