question,truth
0,1
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,1
95,1
96,0
97,0
98,1
99,0
0,1
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,1
95,1
96,0
97,0
98,1
99,0
0,1
1,0
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,0
92,0
93,1
94,1
95,1
96,0
97,0
98,1
99,0
