question,worker,answer
clueweb09-en0001-19-03616,w32,0
clueweb09-en0001-19-03616,w113,1
clueweb09-en0011-38-18524,w451,1
clueweb09-en0011-38-18524,w452,1
clueweb09-en0004-00-09620,w153,1
clueweb09-en0004-00-09620,w680,0
clueweb09-en0007-20-24224,w140,1
clueweb09-en0007-20-24224,w320,0
clueweb09-en0005-41-01643,w106,1
clueweb09-en0005-41-01643,w116,1
clueweb09-en0008-13-16332,w556,1
clueweb09-en0008-13-16332,w457,1
clueweb09-en0011-16-18222,w102,0
clueweb09-en0011-16-18222,w118,1
clueweb09-en0003-10-23115,w205,1
clueweb09-en0003-10-23115,w675,0
clueweb09-en0007-55-10816,w675,0
clueweb09-en0007-55-10816,w688,1
clueweb09-en0008-38-13162,w394,1
clueweb09-en0008-38-13162,w488,0
clueweb09-en0004-98-00139,w108,1
clueweb09-en0004-98-00139,w425,1
clueweb09-en0003-82-29611,w103,1
clueweb09-en0003-82-29611,w364,1
clueweb09-en0002-05-37920,w32,1
clueweb09-en0002-05-37920,w518,1
clueweb09-enwp01-17-07013,w157,0
clueweb09-enwp01-17-07013,w113,0
clueweb09-enwp02-14-14436,w103,1
clueweb09-enwp02-14-14436,w108,1
clueweb09-en0005-65-43696,w103,1
clueweb09-en0005-65-43696,w461,1
clueweb09-enwp00-47-04375,w124,1
clueweb09-enwp00-47-04375,w108,1
clueweb09-en0009-21-30033,w102,0
clueweb09-en0009-21-30033,w205,1
clueweb09-en0003-42-16296,w680,1
clueweb09-en0003-42-16296,w121,0
clueweb09-en0009-45-34398,w101,1
clueweb09-en0009-45-34398,w358,1
clueweb09-enwp03-01-08447,w280,1
clueweb09-enwp03-01-08447,w394,1
clueweb09-en0006-53-12448,w690,0
clueweb09-en0006-53-12448,w689,1
clueweb09-en0002-91-14529,w101,1
clueweb09-en0002-91-14529,w108,1
clueweb09-en0009-45-34391,w675,0
clueweb09-en0009-45-34391,w692,1
clueweb09-en0009-45-34394,w691,1
clueweb09-en0009-45-34394,w589,1
clueweb09-en0009-45-34395,w101,1
clueweb09-en0009-45-34395,w294,0
clueweb09-en0010-57-36744,w696,0
clueweb09-en0010-57-36744,w205,0
clueweb09-en0010-05-23233,w302,1
clueweb09-en0010-05-23233,w278,0
clueweb09-en0006-31-01926,w304,1
clueweb09-en0006-31-01926,w103,1
clueweb09-en0006-18-26054,w343,1
clueweb09-en0006-18-26054,w13,1
clueweb09-en0006-31-01923,w103,1
clueweb09-en0006-31-01923,w375,0
clueweb09-enwp00-43-15187,w205,1
clueweb09-enwp00-43-15187,w13,1
clueweb09-enwp01-68-05055,w688,0
clueweb09-enwp01-68-05055,w48,0
clueweb09-en0000-58-11120,w315,1
clueweb09-en0000-58-11120,w103,1
clueweb09-en0001-25-10385,w103,1
clueweb09-en0001-25-10385,w32,0
clueweb09-en0008-08-14534,w101,1
clueweb09-en0008-08-14534,w191,1
clueweb09-en0009-04-30435,w6,1
clueweb09-en0009-04-30435,w2,1
clueweb09-en0005-52-07383,w13,0
clueweb09-en0005-52-07383,w101,1
clueweb09-en0005-52-07382,w288,0
clueweb09-en0005-52-07382,w280,0
clueweb09-en0009-72-26897,w674,1
clueweb09-en0009-72-26897,w675,0
clueweb09-en0003-51-19313,w684,1
clueweb09-en0003-51-19313,w751,1
clueweb09-en0008-72-25616,w108,1
clueweb09-en0008-72-25616,w152,1
clueweb09-enwp00-07-16397,w101,1
clueweb09-enwp00-07-16397,w197,1
clueweb09-en0008-72-25615,w138,1
clueweb09-en0008-72-25615,w108,1
clueweb09-en0004-02-17099,w214,1
clueweb09-en0004-02-17099,w103,1
clueweb09-enwp01-40-14707,w305,1
clueweb09-enwp01-40-14707,w288,1
clueweb09-en0003-51-19486,w101,1
clueweb09-en0003-51-19486,w103,1
clueweb09-en0009-82-39366,w679,0
clueweb09-en0009-82-39366,w153,1
clueweb09-enwp01-89-05640,w483,1
clueweb09-enwp01-89-05640,w518,0
clueweb09-en0003-51-19483,w688,1
clueweb09-en0003-51-19483,w682,1
clueweb09-en0005-53-05767,w475,0
clueweb09-en0005-53-05767,w421,0
clueweb09-en0010-85-07286,w679,1
clueweb09-en0010-85-07286,w723,1
clueweb09-en0006-37-31945,w32,0
clueweb09-en0006-37-31945,w529,1
clueweb09-en0009-33-26782,w101,1
clueweb09-en0009-33-26782,w280,0
clueweb09-en0004-76-24755,w100,0
clueweb09-en0004-76-24755,w142,0
clueweb09-en0000-03-14261,w294,0
clueweb09-en0000-03-14261,w32,0
clueweb09-enwp02-06-03775,w281,1
clueweb09-enwp02-06-03775,w105,1
clueweb09-en0008-08-11305,w112,1
clueweb09-en0008-08-11305,w118,0
clueweb09-enwp02-03-15273,w103,1
clueweb09-enwp02-03-15273,w351,1
clueweb09-en0000-33-17714,w613,0
clueweb09-en0000-33-17714,w660,0
clueweb09-en0008-05-06642,w1,1
clueweb09-en0008-05-06642,w10,0
clueweb09-en0004-15-28951,w718,1
clueweb09-en0004-15-28951,w160,1
clueweb09-en0000-10-04807,w288,1
clueweb09-en0000-10-04807,w152,0
clueweb09-en0001-46-32609,w589,1
clueweb09-en0001-46-32609,w153,1
clueweb09-enwp02-00-14562,w675,0
clueweb09-enwp02-00-14562,w682,1
clueweb09-en0001-50-07749,w20,1
clueweb09-en0001-50-07749,w7,1
clueweb09-en0001-86-29489,w272,0
clueweb09-en0001-86-29489,w399,1
clueweb09-en0010-68-38966,w109,0
clueweb09-en0010-68-38966,w267,0
clueweb09-en0001-18-30508,w108,1
clueweb09-en0001-18-30508,w149,1
clueweb09-en0004-10-21079,w104,0
clueweb09-en0004-10-21079,w28,1
clueweb09-enwp02-21-13752,w1,1
clueweb09-enwp02-21-13752,w4,1
clueweb09-en0010-34-30553,w6,0
clueweb09-en0010-34-30553,w2,1
clueweb09-enwp01-32-16104,w101,1
clueweb09-enwp01-32-16104,w102,0
clueweb09-en0006-14-02938,w238,1
clueweb09-en0006-14-02938,w108,1
clueweb09-en0006-14-02939,w76,0
clueweb09-en0006-14-02939,w121,0
clueweb09-en0010-59-35965,w484,0
clueweb09-en0010-59-35965,w108,1
clueweb09-en0010-78-24757,w102,0
clueweb09-en0010-78-24757,w115,0
clueweb09-en0000-40-14160,w121,0
clueweb09-en0000-40-14160,w124,1
clueweb09-en0010-54-37766,w108,1
clueweb09-en0010-54-37766,w339,0
clueweb09-en0002-40-05614,w192,1
clueweb09-en0002-40-05614,w563,0
clueweb09-en0010-21-36265,w103,0
clueweb09-en0010-21-36265,w153,0
clueweb09-enwp00-25-05356,w532,1
clueweb09-enwp00-25-05356,w275,1
clueweb09-en0003-22-05497,w293,0
clueweb09-en0003-22-05497,w280,1
clueweb09-en0004-48-36209,w108,1
clueweb09-en0004-48-36209,w124,1
clueweb09-en0010-36-29329,w519,0
clueweb09-en0010-36-29329,w592,1
clueweb09-en0007-79-10936,w344,0
clueweb09-en0007-79-10936,w108,1
clueweb09-en0000-19-35982,w140,1
clueweb09-en0000-19-35982,w101,1
clueweb09-en0001-97-28653,w152,1
clueweb09-en0001-97-28653,w108,1
clueweb09-enwp03-06-24321,w305,1
clueweb09-enwp03-06-24321,w394,0
clueweb09-en0003-74-12212,w130,0
clueweb09-en0003-74-12212,w100,0
clueweb09-en0000-06-05415,w140,1
clueweb09-en0000-06-05415,w236,0
clueweb09-en0004-09-06983,w10,1
clueweb09-en0004-09-06983,w6,1
clueweb09-en0008-56-13914,w503,1
clueweb09-en0008-56-13914,w504,0
clueweb09-en0000-98-01182,w101,1
clueweb09-en0002-57-17639,w28,0
clueweb09-en0002-57-17639,w589,1
clueweb09-en0006-53-12446,w695,0
clueweb09-en0006-53-12446,w118,0
clueweb09-en0006-74-30784,w141,1
clueweb09-en0006-74-30784,w102,0
clueweb09-en0011-92-35374,w238,1
clueweb09-en0011-92-35374,w108,1
